Hashtag,Cleaned Tweet Count,Scraped Date,Scraped Time,Hour Offset,Rank,Source
#حلقه_ضرب_المدمره_المصريه,10000.0,2025-08-03,00:00,0,1,World
#بازوكا_وصل_السعوديه,10000.0,2025-08-03,00:00,0,2,World
#تطبيق_نفحصها_لخدمه_السيارات٣,10000.0,2025-08-03,00:00,0,3,World
#رفع_اعلانك__ترند_057б𐌚179𐌚9,10000.0,2025-08-03,00:00,0,4,World
#اعلانك_معنا_ترند0ちち863θち79,10000.0,2025-08-03,00:00,0,5,World
Lewis,68100.0,2025-08-03,00:00,0,6,World
THE PRINCE OF EMMALY,735600.0,2025-08-03,00:00,0,7,World
Charles,152600.0,2025-08-03,00:00,0,8,World
Ferrari,44100.0,2025-08-03,00:00,0,9,World
SECRET DEAL EP2,66600.0,2025-08-03,00:00,0,10,World
Happy Birthday Emily,10000.0,2025-08-03,00:00,0,11,World
Washington Sundar,10000.0,2025-08-03,00:00,0,12,World
バニーの日,325900.0,2025-08-03,00:00,0,13,World
Carolana,10000.0,2025-08-03,00:00,0,14,World
異界入り,19100.0,2025-08-03,00:00,0,15,World
CherryAI,10000.0,2025-08-03,00:00,0,16,World
محمد نجيب,14000.0,2025-08-03,00:00,0,17,World
PERTHSANTA FANSIGN INF2025,973100.0,2025-08-03,00:00,0,18,World
McLaren,28300.0,2025-08-03,00:00,0,19,World
Alonso,31100.0,2025-08-03,00:00,0,20,World
Aston Martin,10000.0,2025-08-03,00:00,0,21,World
THE FIRST KNOCK OF LOLLA,12000.0,2025-08-03,00:00,0,22,World
花火大会,150400.0,2025-08-03,00:00,0,23,World
$MSIA,10000.0,2025-08-03,00:00,0,24,World
Dowell,10000.0,2025-08-03,00:00,0,25,World
Luka Doncic,18200.0,2025-08-03,00:00,0,26,World
dan heng,15800.0,2025-08-03,00:00,0,27,World
ルクレール,10000.0,2025-08-03,00:00,0,28,World
Kerem,52300.0,2025-08-03,00:00,0,29,World
TANWATRIN 1ST MEETING,60500.0,2025-08-03,00:00,0,30,World
Bortoleto,14100.0,2025-08-03,00:00,0,31,World
Happy 3rd,10000.0,2025-08-03,00:00,0,32,World
Motherwell,10000.0,2025-08-03,00:00,0,33,World
Pauline Ferrand,10000.0,2025-08-03,00:00,0,34,World
ふつうの軽音部,10000.0,2025-08-03,00:00,0,35,World
FREEDOM FOR ROSY,10000.0,2025-08-03,00:00,0,36,World
Pokémon,116500.0,2025-08-03,00:00,0,37,World
ケリュドラ,30300.0,2025-08-03,00:00,0,38,World
Alcione,10000.0,2025-08-03,00:00,0,39,World
Tom Holland,56300.0,2025-08-03,00:00,0,40,World
Ersan Şen,10000.0,2025-08-03,00:00,0,41,World
キュレネ,16300.0,2025-08-03,00:00,0,42,World
Spider-Man,220400.0,2025-08-03,00:00,0,43,World
NO ON CAROL,10000.0,2025-08-03,00:00,0,44,World
Full Time,63800.0,2025-08-03,00:00,0,45,World
Galatasaray - Lazio,11300.0,2025-08-03,00:00,0,46,World
MIKBRENT GMAzing WEDDING,10000.0,2025-08-03,00:00,0,47,World
Blake Snell,10000.0,2025-08-03,00:00,0,48,World
Hobbes,10000.0,2025-08-03,00:00,0,49,World
casado,32000.0,2025-08-03,00:00,0,50,World
#اغسطس_موسم_عسير,10000.0,2025-08-02,23:00,1,1,World
#الشيخ_نواف_السعود_الصباح,22200.0,2025-08-02,23:00,1,2,World
#اعلانك_معنا_ترند0ちち863θち79,10000.0,2025-08-02,23:00,1,3,World
#انقذو_معسر_بعمر52_مريض_احسان,10000.0,2025-08-02,23:00,1,4,World
#قبول_كلي_للدبلوم,35700.0,2025-08-02,23:00,1,5,World
Leclerc,97600.0,2025-08-02,23:00,1,6,World
Lewis,62700.0,2025-08-02,23:00,1,7,World
Ferrari,41200.0,2025-08-02,23:00,1,8,World
THE PRINCE OF EMMALY,633700.0,2025-08-02,23:00,1,9,World
バニーの日,317200.0,2025-08-02,23:00,1,10,World
Washington Sundar,10000.0,2025-08-02,23:00,1,11,World
異界入り,18200.0,2025-08-02,23:00,1,12,World
Aston Martin,10000.0,2025-08-02,23:00,1,13,World
SECRET DEAL EP2,44200.0,2025-08-02,23:00,1,14,World
McLaren,27200.0,2025-08-02,23:00,1,15,World
Alonso,30000.0,2025-08-02,23:00,1,16,World
$MSIA,10000.0,2025-08-02,23:00,1,17,World
PERTHSANTA FANSIGN INF2025,907800.0,2025-08-02,23:00,1,18,World
ルクレール,10000.0,2025-08-02,23:00,1,19,World
花火大会,147800.0,2025-08-02,23:00,1,20,World
THE FIRST KNOCK OF LOLLA,10000.0,2025-08-02,23:00,1,21,World
Ersan Şen,10000.0,2025-08-02,23:00,1,22,World
ケリュドラ,29600.0,2025-08-02,23:00,1,23,World
Bortoleto,13100.0,2025-08-02,23:00,1,24,World
TANWATRIN 1ST MEETING,52500.0,2025-08-02,23:00,1,25,World
Carolana,10000.0,2025-08-02,23:00,1,26,World
Pauline Ferrand,10000.0,2025-08-02,23:00,1,27,World
محمد نجيب,11400.0,2025-08-02,23:00,1,28,World
Happy Birthday Emily,10000.0,2025-08-02,23:00,1,29,World
Kerem,52500.0,2025-08-02,23:00,1,30,World
キュレネ,15900.0,2025-08-02,23:00,1,31,World
dan heng,14500.0,2025-08-02,23:00,1,32,World
ふつうの軽音部,10000.0,2025-08-02,23:00,1,33,World
Full Time,63900.0,2025-08-02,23:00,1,34,World
Luka Doncic,13300.0,2025-08-02,23:00,1,35,World
Tom Holland,54500.0,2025-08-02,23:00,1,36,World
FREEDOM FOR ROSY,10000.0,2025-08-02,23:00,1,37,World
穂乃果ちゃん,10000.0,2025-08-02,23:00,1,38,World
FAYE SHINE IN CANNES,123100.0,2025-08-02,23:00,1,39,World
Pokémon,113000.0,2025-08-02,23:00,1,40,World
MIKBRENT GMAGICAL DATE,535700.0,2025-08-02,23:00,1,41,World
長岡花火,59300.0,2025-08-02,23:00,1,42,World
わけほー,10000.0,2025-08-02,23:00,1,43,World
casado,30500.0,2025-08-02,23:00,1,44,World
Alcione,10000.0,2025-08-02,23:00,1,45,World
引き分け,10000.0,2025-08-02,23:00,1,46,World
Cyrene,20600.0,2025-08-02,23:00,1,47,World
#ShineEP1,137500.0,2025-08-02,23:00,1,48,World
#SixTONESANN,48700.0,2025-08-02,23:00,1,49,World
#TheNextPrinceFinalEP,645300.0,2025-08-02,23:00,1,50,World
Leclerc,84300.0,2025-08-02,22:00,2,1,World
#SixTONESANN,44700.0,2025-08-02,22:00,2,2,World
バニーの日,306000.0,2025-08-02,22:00,2,3,World
#TheNextPrinceFinalEP,517000.0,2025-08-02,22:00,2,4,World
THE PRINCE OF EMMALY,506300.0,2025-08-02,22:00,2,5,World
#ShineEP1,82700.0,2025-08-02,22:00,2,6,World
Hamilton,35100.0,2025-08-02,22:00,2,7,World
Ferrari,36300.0,2025-08-02,22:00,2,8,World
#HungarianGP,87800.0,2025-08-02,22:00,2,9,World
Aston Martin,10000.0,2025-08-02,22:00,2,10,World
異界入り,15700.0,2025-08-02,22:00,2,11,World
#يد_ال,10000.0,2025-08-02,22:00,2,12,World
ルクレール,10000.0,2025-08-02,22:00,2,13,World
Alonso,28600.0,2025-08-02,22:00,2,14,World
McLaren,26100.0,2025-08-02,22:00,2,15,World
花火大会,145600.0,2025-08-02,22:00,2,16,World
ケリュドラ,28900.0,2025-08-02,22:00,2,17,World
Bortoleto,11700.0,2025-08-02,22:00,2,18,World
Ersan Şen,10000.0,2025-08-02,22:00,2,19,World
PERTHSANTA FANSIGN INF2025,759100.0,2025-08-02,22:00,2,20,World
キュレネ,15400.0,2025-08-02,22:00,2,21,World
$MSIA,10000.0,2025-08-02,22:00,2,22,World
SECRET DEAL EP2,19900.0,2025-08-02,22:00,2,23,World
Pauline Ferrand,10000.0,2025-08-02,22:00,2,24,World
Kerem,49800.0,2025-08-02,22:00,2,25,World
dan heng,12900.0,2025-08-02,22:00,2,26,World
わけほー,10000.0,2025-08-02,22:00,2,27,World
長岡花火,56800.0,2025-08-02,22:00,2,28,World
TANWATRIN 1ST MEETING,36700.0,2025-08-02,22:00,2,29,World
ふつうの軽音部,10000.0,2025-08-02,22:00,2,30,World
引き分け,10000.0,2025-08-02,22:00,2,31,World
エリシア,10000.0,2025-08-02,22:00,2,32,World
セイレンス,17500.0,2025-08-02,22:00,2,33,World
محمد نجيب,10000.0,2025-08-02,22:00,2,34,World
TV100 Galatasaray,10000.0,2025-08-02,22:00,2,35,World
MIKBRENT GMAGICAL DATE,515100.0,2025-08-02,22:00,2,36,World
穂乃果ちゃん,10000.0,2025-08-02,22:00,2,37,World
FAYE SHINE IN CANNES,110900.0,2025-08-02,22:00,2,38,World
GoPay Pet,10000.0,2025-08-02,22:00,2,39,World
Stroll,10100.0,2025-08-02,22:00,2,40,World
フェルスタッペン,10000.0,2025-08-02,22:00,2,41,World
ボルトレート,10000.0,2025-08-02,22:00,2,42,World
レッドブル,10000.0,2025-08-02,22:00,2,43,World
FREEDOM FOR ROSY,10000.0,2025-08-02,22:00,2,44,World
Full Time,63600.0,2025-08-02,22:00,2,45,World
慎ちゃん,10000.0,2025-08-02,22:00,2,46,World
