Hashtag,Cleaned Tweet Count,Cleaned Record Date,Rank,Period,Source
#แผ่นดินไหว,4500000,2025-03-28,1,Year,World
#KawalPutusanMK,4000000,2024-08-22,2,Year,World
#LOLFanFest2025D1,4000000,2025-05-17,3,Year,World
#GRAMMYs,4000000,2025-02-03,4,Year,World
#Oscars,3900000,2025-03-03,5,Year,World
#2024MAMAVOTE,3800000,2024-10-15,6,Year,World
#MetGala,3500000,2025-05-06,7,Year,World
#TruthFromThailand,3300000,2025-07-29,8,Year,World
#VMAs,3300000,2024-09-12,9,Year,World
#GMMTV2025,3200000,2024-11-26,10,Year,World
#GMMTVStarlympics2024,3100000,2024-12-21,11,Year,World
#LOLFanFest2025D2,3100000,2025-05-18,12,Year,World
#OLYMPOPDAY,3000000,2025-05-17,13,Year,World
#Coachella2025,2900000,2025-04-13,14,Year,World
#ไทยกัมพูชา,2800000,2025-07-24,15,Year,World
#TolakPolitikDinasti,2600000,2024-08-22,16,Year,World
#4ElementsPressCon,2500000,2025-04-25,17,Year,World
#CambodiaOpenedFire,2400000,2025-07-29,18,Year,World
#TolakPilkadaAkal2an,2400000,2024-08-22,19,Year,World
#ไทยกับกัมพูชา,2300000,2025-07-29,20,Year,World
#เพียงเธอEP1,2300000,2025-07-18,21,Year,World
#SiriNiNumbers,2300000,2025-06-25,22,Year,World
#KAZZAWARDS2025,2100000,2025-05-28,23,Year,World
#Mchoice2024,2100000,2024-09-07,24,Year,World
#AprilFoolsDay,2000000,2025-04-01,25,Year,World
#BUS_LIGHTTHEWORLD_D1,2000000,2025-03-14,26,Year,World
#OperationSindoor,2000000,2025-05-07,27,Year,World
#DMDLINEUP2025,1900000,2025-02-20,28,Year,World
#ใจซ่อนรักตอนจบ,1800000,2024-08-12,29,Year,World
#ENHYPEN,1800000,2025-04-13,30,Year,World
#ENCHELLA,1800000,2025-04-13,31,Year,World
#MissUniverseThailand2024,1600000,2024-11-17,32,Year,World
#SMSupportsBullying,1600000,2024-10-14,33,Year,World
#BUS_KnockKnockKnock_ChiangMai,1600000,2024-10-27,34,Year,World
#บวงสรวง4Elements,1600000,2025-07-04,35,Year,World
#MintAwards2024,1600000,2024-09-07,36,Year,World
#GoldenGlobes,1500000,2025-01-06,37,Year,World
#หลิงออมงานรางวัลHOWE,1500000,2024-10-08,38,Year,World
#RailwayLevel1_1Lakh_PostDo,1500000,2025-01-23,39,Year,World
#猫の日,1500000,2025-02-22,40,Year,World
#PradaSS25,1400000,2024-09-19,41,Year,World
#นาฏราชครั้งที่16,1400000,2025-05-18,42,Year,World
#PlutoSeriesFinalEP,1400000,2025-01-04,43,Year,World
#LISACHELLA,1300000,2025-04-12,44,Year,World
#Railway_Reform,1300000,2025-07-04,45,Year,World
#ValentinesDay,1300000,2025-02-14,46,Year,World
#น้ําท่วมเชียงราย,1300000,2024-09-11,47,Year,World
#ปิ่นภักดิ์EP6,1300000,2024-09-08,48,Year,World
#خلصوا_صفقات_الهلال1,1300000,2024-08-31,49,Year,World
#CongratsOrmkorn,1200000,2024-11-23,50,Year,World
#SongkranCTWxFB,1200000,2025-04-13,51,Year,World
#SuperBowl,1200000,2025-02-10,52,Year,World
#GrabFoodxTheHottestโชว์,1200000,2025-04-22,53,Year,World
#紅白歌合戦,1100000,2024-12-31,54,Year,World
#ปิ่นภักดิ์EP5,1100000,2024-09-01,55,Year,World
#IndiaPakistanWar,1100000,2025-05-08,56,Year,World
#ไทยนี้รักสงบแต่ถึงรบไม่ขลาด,1100000,2025-07-24,57,Year,World
#GOT7_NESTFESTinBKK_Day1,1100000,2025-05-02,58,Year,World
#JENCHELLA,1100000,2025-04-14,59,Year,World
#LingOrmFanMeet2geTHer,1100000,2024-09-08,60,Year,World
#HBD26thFreenSoloStage,1100000,2024-08-17,61,Year,World
#เพลงจนนิรันดร์,1100000,2025-04-16,62,Year,World
#ปิ่นภักดิ์EP1,1100000,2024-08-04,63,Year,World
#NHK紅白,1100000,2024-12-31,64,Year,World
#LISAxVictoriasSecret,1000000,2024-10-16,65,Year,World
#SkyNaniFanconD1,1000000,2025-02-15,66,Year,World
#ใจซ่อนรักEP7,1000000,2024-08-05,67,Year,World
#Perfect10LinersEP16,1000000,2025-02-09,68,Year,World
#BUS_KnockKnockKnock_Korat,1000000,2024-10-06,69,Year,World
#SEVENTEEN,1000000,2024-10-14,70,Year,World
#LOLFanFest2025LIVE,990600,2025-05-16,71,Year,World
#ชาบูชิชวนกรี๊ดSkyNani,990500,2025-06-13,72,Year,World
